State Name,Zone,Capital City,Largest City,Statehood,Population,Area
Andhra Pradesh,Southern,Amaravati,Visakhapatnam,1 November 1956,49506799,160205
Arunachal Pradesh,North-Eastern,Itanagar,Itanagar,20 February 1987,1383727,83743
Assam,North-Eastern,Dispur,Guwahati,26 January 1950,31205576,78550
Bihar,Eastern,Patna,Patna,26 January 1950,104099452,94163
Chhattisgarh,Central,Nava Raipur,Raipur,1 November 2000,25545198,135194
Goa,Western,Panaji,Vasco da Gama,30 May 1987,1458545,3702
Gujarat,Western,Gandhinagar,Ahmedabad,1 May 1960,60439692,196024
Haryana,Northern,Chandigaarh,Faridabad,1 November 1966,25351462,44212
Himachal Pradesh,Northern,Shimla (Summer) / Dharamshala (Winter),Shimla,25 January 1971,6864602,55673
Jharkhand,Eastern,Ranchi,Jamshedpur,15 November 2000,32988134,74677
Karnataka,Southern,Bengaluru,Bengaluru,1 November 1956,61095297,191791
Kerala,Southern,Thiruvananthapuram,Kochi,1 November 1956,33406061,38863
Madhya Pradesh,Central,Bhopal,Indore,26 January 1950,72626809,308252
Maharashtra,Western,Mumbai (Summer) / Nagpur (Winter),Mumbai,1 May 1960,112374333,307713
Manipur,North-Eastern,Imphal,Imphal,21 January 1972,2855794,22347
Meghalaya,North-Eastern,Shillong,Shillong,21 January 1972,2966889,22720
Mizoram,North-Eastern,Aizawl,Aizawl,20 February 1987,1097206,21081
Nagaland,North-Eastern,Kohima,Dimapur,1 December 1963,1978502,16579
Odisha,Eastern,Bhubaneswar,Bhubaneswar,26 January 1950,41974218,155820
Punjab,Northern,Chandigarh,Ludhiana,1 November 1966,27743338,50362
Rajasthan,Northern,Jaipur,Jaipur,26 January 1950,68548437,342269
Sikkim,North-Eastern,Gangtok,Gangtok,16 May 1975,610577,7096
Tamil Nadu,Southern,Chennai,Chennai,1 November 1956,72147030,130058
Telangana,Southern,Hyderabad,Hyderabad,2 June 2014,35193978,114840
Tripura,North-Eastern,Agartala,Agartala,21 January 1972,3673917,10492
Uttar Pradesh,Central,Lucknow,Kanpur,26 January 1950,199812341,243286
Uttarakhand,Central,Gairsain (Summer) / Dehradun (Winter),Dehradun,9 November 2000,10086292,53483
West Bengal,Eastern,Kolkata,Kolkata,26 January 1950,91276115,88752